ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_3305152	2.46E-18	7.59E-23	-1.65E+02	41.340259	-5.98372739	NA		
ILMN_1684886	2.46E-18	1.04E-22	-1.61E+02	41.1242117	-5.81127617	66932942	VCX	"variable charge, X-linked"
ILMN_1691494	2.48E-18	1.58E-22	-1.56E+02	40.832837	-6.49467735	NA		
ILMN_2160210	7.22E-18	6.12E-22	-1.40E+02	39.8403932	-5.07843007	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_2169152	1.03E-17	1.11E-21	-1.34E+02	39.3802124	-5.84283457	1005261257	SRGN	serglycin
ILMN_2363141	1.03E-17	1.31E-21	-1.32E+02	39.2572058	-4.61618171	746816088	PAGE5	PAGE family member 5
ILMN_2366642	1.06E-17	1.57E-21	-1.30E+02	39.1114622	-5.87120849	223941936	VCX3A	"variable charge, X-linked 3A"
ILMN_3249032	1.19E-17	2.01E-21	-1.28E+02	38.9173561	-4.32460299	218505669	EPCAM	epithelial cell adhesion molecule
ILMN_1748538	1.37E-17	2.76E-21	-1.25E+02	38.6627439	-5.88128769	332634706	ALDH1A2	aldehyde dehydrogenase 1 family member A2
ILMN_1744656	1.37E-17	2.89E-21	-1.24E+02	38.6243186	-4.16166656	746816088	PAGE5	PAGE family member 5
ILMN_2343774	1.52E-17	3.70E-21	-1.22E+02	38.4239465	-5.4003887	NA		
ILMN_1682928	1.52E-17	4.11E-21	1.21E+02	38.3380835	4.24224719	83641875	CPVL	"carboxypeptidase, vitellogenic like"
ILMN_1778173	1.52E-17	4.39E-21	-1.20E+02	38.2839148	-4.12046221	315434221	AK3	adenylate kinase 3
ILMN_1763196	1.52E-17	4.50E-21	1.20E+02	38.2634785	3.96165415	464402376	WDR72	WD repeat domain 72
ILMN_1792538	1.61E-17	5.35E-21	1.19E+02	38.1217358	4.21124349	61676094	CD7	CD7 molecule
ILMN_2166716	1.61E-17	5.44E-21	-1.18E+02	38.1074173	-5.82817296	302565115	VCX3B	"variable charge, X-linked 3B"
ILMN_1701933	1.92E-17	6.90E-21	1.16E+02	37.9099041	4.17916542	225690600	SNCA	synuclein alpha
ILMN_2400759	2.13E-17	8.37E-21	1.14E+02	37.7483897	4.96154194	83641873	CPVL	"carboxypeptidase, vitellogenic like"
ILMN_1759330	2.13E-17	8.58E-21	1.14E+02	37.7276351	4.43949644	383792143	KIF1A	kinesin family member 1A
ILMN_2247572	3.38E-17	1.43E-20	-1.10E+02	37.2946524	-4.09463995	522838257	SSX1	SSX family member 1
ILMN_1803429	3.42E-17	1.53E-20	1.09E+02	37.2341305	3.92266904	48255940	CD44	CD44 molecule (Indian blood group)
ILMN_1715463	3.42E-17	1.60E-20	-1.09E+02	37.1958409	-3.91412481	100913216	SOSTDC1	sclerostin domain containing 1
ILMN_2101278	3.42E-17	1.67E-20	1.09E+02	37.1627846	3.9641926	56682942	RGS18	regulator of G-protein signaling 18
ILMN_1760347	4.70E-17	2.39E-20	-1.06E+02	36.853407	-5.77028497	1005261257	SRGN	serglycin
ILMN_2061435	4.76E-17	2.52E-20	1.05E+02	36.8062906	3.67478728	290543313	MEG3	maternally expressed 3 (non-protein coding)
ILMN_1671565	5.14E-17	2.85E-20	-1.04E+02	36.6987336	-3.74917149	156071486	RNASET2	ribonuclease T2
ILMN_1686373	5.14E-17	3.02E-20	-1.04E+02	36.647798	-4.19849338	148747372	CFAP161	cilia and flagella associated protein 161
ILMN_1745395	5.14E-17	3.05E-20	-1.04E+02	36.6407491	-4.82800923	392933921	CTCFL	CCCTC-binding factor like
ILMN_1682126	8.38E-17	5.25E-20	9.93E+01	36.161031	4.13140149	NA		
ILMN_3299047	8.38E-17	5.55E-20	-9.89E+01	36.1118854	-3.95947162	NA		
ILMN_1772458	8.38E-17	5.55E-20	-9.89E+01	36.1117938	-3.45879742	359718950	SPAG6	sperm associated antigen 6
ILMN_1782501	8.38E-17	5.68E-20	-9.87E+01	36.0908703	-4.22446042	NA		
ILMN_1706028	1.02E-16	7.29E-20	-9.68E+01	35.8680052	-4.30917486	756761812	VCX2	"variable charge, X-linked 2"
ILMN_1807042	1.02E-16	7.37E-20	-9.67E+01	35.8575058	-3.34420826	743405628	MARCKS	myristoylated alanine rich protein kinase C substrate
ILMN_1746517	1.11E-16	8.48E-20	-9.57E+01	35.7324665	-3.38560093	74101435	KYNU	kynureninase
ILMN_2046730	1.11E-16	8.48E-20	9.57E+01	35.7321327	3.76922747	115298655	S100A10	S100 calcium binding protein A10
ILMN_3247645	1.36E-16	1.07E-19	-9.40E+01	35.5233001	-4.18844822	171460991	LINC01420	long intergenic non-protein coding RNA 1420
ILMN_1774602	1.36E-16	1.10E-19	9.38E+01	35.4989591	3.34787936	51873054	FBLN2	fibulin 2
ILMN_1668092	1.38E-16	1.14E-19	9.35E+01	35.4662672	3.54773243	148664204	ESAM	endothelial cell adhesion molecule
ILMN_3263451	1.49E-16	1.26E-19	-9.28E+01	35.3733584	-3.09212304	NA		
ILMN_1735192	1.56E-16	1.35E-19	-9.23E+01	35.3096196	-3.12802049	364502938	COLEC11	collectin subfamily member 11
ILMN_1731206	1.58E-16	1.44E-19	9.18E+01	35.2516194	3.41751038	402747012	NKD2	naked cuticle homolog 2
ILMN_2366330	1.58E-16	1.45E-19	-9.18E+01	35.2490388	-3.4919216	215983055	FERMT3	fermitin family member 3
ILMN_1655867	1.58E-16	1.47E-19	9.17E+01	35.2315208	3.39380033	389565503	HRASLS	HRAS like suppressor
ILMN_2197946	1.72E-16	1.66E-19	-9.08E+01	35.1214155	-3.44893447	259089431	SCG3	secretogranin III
ILMN_2402303	1.72E-16	1.68E-19	-9.07E+01	35.1123293	-3.32571868	373838722	SSX4B	SSX family member 4B
ILMN_1651789	1.73E-16	1.75E-19	-9.04E+01	35.0744729	-4.07919029	756761812	VCX2	"variable charge, X-linked 2"
ILMN_1726924	1.73E-16	1.76E-19	-9.04E+01	35.0689695	-3.41266554	313482813	SYNGR4	synaptogyrin 4
ILMN_3259146	1.94E-16	2.01E-19	-8.95E+01	34.9462344	-3.86091513	NA		
ILMN_1688444	1.96E-16	2.10E-19	-8.92E+01	34.9069589	-3.57003935	NA		
ILMN_2203950	1.96E-16	2.11E-19	8.91E+01	34.901624	2.99183344	337752171	HLA-A	"major histocompatibility complex, class I, A"
ILMN_2199439	2.22E-16	2.44E-19	8.81E+01	34.7688473	3.30312045	157952216	CA2	carbonic anhydrase 2
ILMN_1672503	2.31E-16	2.60E-19	8.77E+01	34.7115222	3.16909638	347543827	DPYSL2	dihydropyrimidinase like 2
ILMN_1685699	2.32E-16	2.65E-19	8.76E+01	34.690879	3.18449079	170014742	PRSS3	"protease, serine 3"
ILMN_2096372	2.45E-16	2.85E-19	-8.71E+01	34.6247635	-3.77735351	327365354	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ILMN_1805750	2.71E-16	3.21E-19	-8.63E+01	34.5144951	-3.89088478	148612841	IFITM3	interferon induced transmembrane protein 3
ILMN_1709348	2.71E-16	3.32E-19	-8.61E+01	34.4844382	-3.22489551	327365354	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ILMN_2413158	2.71E-16	3.33E-19	8.60E+01	34.4806569	2.9883531	144094253	PODXL	podocalyxin like
ILMN_1800276	3.16E-16	3.95E-19	8.49E+01	34.3224119	3.33132485	221316739	RCN1	reticulocalbin 1
ILMN_1737972	3.25E-16	4.13E-19	8.46E+01	34.2802082	3.12268641	49410494	TSPYL5	TSPY like 5
ILMN_2317446	3.51E-16	4.53E-19	-8.40E+01	34.1941578	-3.0801792	221139808	CT55	cancer/testis antigen 55
ILMN_1751901	3.62E-16	4.75E-19	8.37E+01	34.1493674	3.19490364	214010246	TMEM163	transmembrane protein 163
ILMN_1684697	3.68E-16	4.91E-19	-8.35E+01	34.1178471	-3.37539021	522838260	SSX2	SSX family member 2
ILMN_2339835	4.15E-16	5.63E-19	8.26E+01	33.9908623	3.22360875	403310637	PTGS1	prostaglandin-endoperoxide synthase 1
ILMN_1691156	4.30E-16	5.92E-19	8.23E+01	33.9430365	2.927907	71274112	MT1A	metallothionein 1A
ILMN_2246154	4.45E-16	6.21E-19	-8.20E+01	33.8977028	-3.33543122	46195754	ZBED9	zinc finger BED-type containing 9
ILMN_1806754	4.49E-16	6.37E-19	8.18E+01	33.8745691	2.98535236	108773800	GLDC	glycine decarboxylase
ILMN_2313349	4.66E-16	6.70E-19	-8.15E+01	33.8263861	-3.1067789	NA		
ILMN_2208413	4.81E-16	7.03E-19	-8.12E+01	33.781776	-3.97714351	188497641	ARHGAP15	Rho GTPase activating protein 15
