"gene_id","WT_1","WT_2","IR1_1","IR1_2","IR2_1","IR2_2"
"ENSG00000227232.4",671,546,535,575,532,515
"ENSG00000238009.2",61,51,52,68,135,114
"ENSG00000233750.3",12,10,13,9,19,27
"ENSG00000237683.5",931,727,883,879,828,1328
"ENSG00000268903.1",13,10,15,17,26,17
"ENSG00000239906.1",14,17,16,27,17,31
"ENSG00000241860.2",287,265,317,321,261,314
"ENSG00000241599.1",35,38,32,22,23,23
"ENSG00000228463.4",184,196,228,270,657,420
"ENSG00000237094.7",85,90,92,100,113,183
"ENSG00000230021.3",5,4,4,11,13,28
"ENSG00000237973.1",190,119,74,161,145,104
"ENSG00000229344.1",13,10,11,29,19,15
"ENSG00000198744.5",54,50,27,65,74,62
"ENSG00000229376.3",5,1,5,11,11,16
"ENSG00000224956.5",45,60,61,90,60,100
"ENSG00000235373.1",70,43,52,50,38,69
"ENSG00000240618.1",24,23,16,23,24,35
"ENSG00000228327.2",224,198,230,191,229,248
"ENSG00000237491.4",68,72,110,90,82,122
"ENSG00000177757.1",29,15,19,19,26,30
"ENSG00000225880.4",113,88,80,114,71,65
"ENSG00000228794.4",184,157,252,329,359,289
"ENSG00000272438.1",3,2,19,10,9,13
"ENSG00000230699.2",12,22,60,56,36,69
"ENSG00000223764.2",62,37,93,87,39,30
"ENSG00000187634.6",73,56,73,122,80,52
"ENSG00000188976.6",3483,3185,5522,7162,5922,3358
"ENSG00000187961.9",1217,1080,1181,1537,1148,958
"ENSG00000187583.6",53,30,101,85,99,107
"ENSG00000187642.5",33,52,49,39,57,40
"ENSG00000272512.1",29,18,22,22,25,43
"ENSG00000188290.6",423,412,392,476,496,346
"ENSG00000187608.5",224,219,325,372,259,123
"ENSG00000188157.9",10779,9611,8320,11417,9405,6880
"ENSG00000217801.5",169,149,171,273,308,286
"ENSG00000273443.1",22,21,19,38,20,44
"ENSG00000237330.2",7,12,9,12,13,18
"ENSG00000131591.13",1146,1018,952,1128,1128,1062
