"ID","GEO2R_logFC","scripted_logFC","GEO2R_adjP","scripted_adjP"
"ILMN_1343291",-0.04600431,-0.0460043066666618,0.513,0.513247336540314
"ILMN_1343295",0.51100435,0.511004353333332,6.81e-08,6.80756486176968e-08
"ILMN_1651199",0.03059834,0.0305983403333343,0.658,0.65815240086577
"ILMN_1651209",0.06021624,0.0602162356666671,0.254,0.25371879896152
"ILMN_1651210",0.0232109,0.0232109016666691,0.792,0.792217349728806
"ILMN_1651221",-0.06338034,-0.0633803426666661,0.242,0.241638152665351
"ILMN_1651228",0.23324522,0.233245216666667,0.000909,0.000908792662084981
"ILMN_1651229",-0.16605127,-0.166051273666666,0.00301,0.00300507884511773
"ILMN_1651230",-0.03290832,-0.0329083223333315,0.616,0.615531450295887
"ILMN_1651232",-0.08035027,-0.0803502659999991,0.215,0.215100965919616
"ILMN_1651235",-0.00517332,-0.00517331799999887,0.957,0.957099495339942
"ILMN_1651236",0.0359535,0.0359534999999997,0.553,0.552725561572169
"ILMN_1651237",-0.26593421,-0.265934213333329,8.56e-05,8.5633765095277e-05
"ILMN_1651238",0.00289705,0.00289705133333484,0.976,0.976012649723432
"ILMN_1651249",0.04102663,0.0410266263333332,0.463,0.463439563531081
"ILMN_1651253",0.55826641,0.558266413666668,1.02e-08,1.02087800376163e-08
"ILMN_1651254",-0.0120248,-0.0120247986666655,0.885,0.885310143090209
"ILMN_1651259",-0.25925076,-0.259250758333334,1.92e-05,1.92111292807722e-05
"ILMN_1651260",-0.08969062,-0.0896906176666663,0.066,0.0659877627369965
"ILMN_1651262",-0.17079227,-0.170792266666666,0.0398,0.0397949549379103
"ILMN_1651268",-0.12947321,-0.129473210666665,0.00802,0.00802405755430475
"ILMN_1651278",0.14594242,0.145942419333332,0.0296,0.0295862209479474
"ILMN_1651279",0.02166282,0.0216628209999996,0.802,0.801893025523306
"ILMN_1651281",0.04287327,0.0428732730000005,0.561,0.560550748812381
"ILMN_1651282",-0.03801737,-0.0380173686666625,0.606,0.606496424243325
"ILMN_1651285",-0.64555366,-0.645553665,3.7e-09,3.70128397338458e-09
"ILMN_1651286",-0.08306984,-0.0830698349999972,0.167,0.166941870537943
