"sample","title","group"
"GSM3421746","K562, replicate 1","Parental"
"GSM3421747","K562, replicate 2","Parental"
"GSM3421748","K562, replicate 3","Parental"
"GSM3421749","Spindle-shaped K562-IR cells, replicate 1","Excluded_other_group"
"GSM3421750","Spindle-shaped K562-IR cells, replicate 2","Excluded_other_group"
"GSM3421751","Spindle-shaped K562-IR cells, replicate 3","Excluded_other_group"
"GSM3421752","K562-IR w/o imatinib, replicate 1","Resistant_without_imatinib"
"GSM3421753","K562-IR w/o imatinib, replicate 2","Resistant_without_imatinib"
"GSM3421754","K562-IR w/o imatinib, replicate 3","Resistant_without_imatinib"
"GSM3421755","K562-IR w/ imatinib, replicate 1","Excluded_other_group"
"GSM3421756","K562-IR w/ imatinib, replicate 2","Excluded_other_group"
"GSM3421757","K562-IR w/ imatinib, replicate 3","Excluded_other_group"
