"","GSM307000","GSM307012","GSM307013","GSM307018","GSM307020","GSM307023","GSM307028","GSM307030","GSM307031","GSM307032","GSM307053","GSM307072"
"1007_s_at",4.60728156671009,4.6428086578566,4.92593363127614,4.48490856334808,4.90739632071533,5.22066695110567,5.52685731123433,4.75768086187309,4.95536679935555,4.98795396246563,5.02106664781387,5.38030348708167
"1053_at",6.91567841423843,7.2429662303584,6.99521985992274,7.14256833131264,6.93393914542565,7.10767135445582,6.21711356324752,6.57592872854452,6.45759658918173,6.57739031583406,6.84168847296796,6.62202283470753
"117_at",4.15491958813847,3.9098947389103,4.18625138257274,4.3737808569501,4.04941464381845,3.81217562315645,4.82200461362881,3.79815948187831,4.04119906590833,3.91160440607294,4.53112060426628,3.85320208805551
"121_at",6.87952909750801,6.53225697058498,6.79312479452214,6.52421395306395,6.74194581274975,6.82146518945386,7.08665626275636,6.35222549494977,7.17269166542344,7.273449007281,6.73158666833741,6.56866731083982
"1255_g_at",2.47279415917864,2.66521346875505,2.3385017059695,2.64283410599295,2.65134962643604,2.63803482357556,2.58339282972481,2.75881144364478,2.58439988457724,2.71797731514512,2.70207921833644,2.70217196664067
"1294_at",7.31563282608642,7.6031420788248,7.95313048147301,7.36106243549227,7.80872786528688,7.33321100382569,8.55601235934403,7.85475298942872,8.09081452485741,8.02106911740608,7.92113757038011,7.61502030464822
"1316_at",4.33624740962192,4.43479965461887,4.51724851951327,4.41513277072729,4.46042973239165,4.4310495788749,4.49738671055251,4.640770813524,4.4985445113801,4.1314311084766,4.39461851565785,4.2620067458228
"1320_at",2.9758827918817,2.87340502604479,2.87764334813879,3.11303016019215,3.03164206391777,3.0662109117105,3.05134630280269,2.91436196113658,3.06149529111816,3.20615635623573,3.60103800971618,3.15354642000691
"1405_i_at",5.82745806754821,5.73216031373007,5.86242082557546,5.74589467921973,6.7655443414932,6.32501054713209,10.4644089168637,5.4443746928572,5.21486794574772,6.29086315740771,4.89354645973513,6.51144897522498
"1431_at",2.93963158261454,2.79481237777283,2.6989411242225,2.72683470328988,2.744974248199,2.78840860727849,2.77435736428481,2.70099351730484,2.78387785447576,2.77592376365625,2.93476902174353,2.78065631100023
"1438_at",3.61604984979368,3.72113897005713,3.6748323613329,3.47220837287815,3.62011605624269,3.62988972843376,3.54703784583287,3.48203793634672,3.65372454651097,3.91411081887622,3.63985992285408,3.55419891254085
"1487_at",5.64607359620137,5.85684380603485,5.8061029623016,5.94915283179224,5.71629380767255,5.70910429226495,5.94901601754491,5.75327691402436,5.88921489837045,5.84930781299597,5.76431277141646,5.90267093211202
"1494_f_at",4.16241133873404,4.05156552373484,4.11979299062199,4.17404658379661,4.15065609842375,4.2860016971809,4.14700486229567,4.25246389180643,3.71198041606263,4.76514970511957,4.40578124983628,4.18469093876976
